t,hip_L.q,abduct_L.q,hip_R.q,abduct_R.q
0.198000,0.486646884,-0.003289183,0.379914144,-0.017228727
0.199000,0.485955344,-0.003274952,0.382312667,-0.017269802
0.200000,0.485254553,-0.003260205,0.384705245,-0.017309771
0.201000,0.484544463,-0.003244940,0.387091743,-0.017348627
0.202000,0.483825024,-0.003229158,0.389472024,-0.017386369
0.203000,0.483096190,-0.003212859,0.391845955,-0.017422991
0.204000,0.482357914,-0.003196041,0.394213401,-0.017458491
0.205000,0.481610151,-0.003178704,0.396574231,-0.017492865
0.206000,0.480852856,-0.003160849,0.398928312,-0.017526109
0.207000,0.480085986,-0.003142474,0.401275513,-0.017558222
0.208000,0.479309498,-0.003123580,0.403615704,-0.017589198
0.209000,0.478523349,-0.003104165,0.405948756,-0.017619037
0.210000,0.477727500,-0.003084231,0.408274541,-0.017647734
0.211000,0.476921909,-0.003063776,0.410592932,-0.017675288
0.212000,0.476106537,-0.003042801,0.412903803,-0.017701696
0.213000,0.475281347,-0.003021304,0.415207028,-0.017726955
0.214000,0.474446301,-0.002999286,0.417502482,-0.017751064
0.215000,0.473601362,-0.002976747,0.419790043,-0.017774020
0.216000,0.472746496,-0.002953687,0.422069589,-0.017795822
0.217000,0.471881667,-0.002930104,0.424340997,-0.017816467
0.218000,0.471006843,-0.002906000,0.426604148,-0.017835954
0.219000,0.470121991,-0.002881373,0.428858922,-0.017854282
0.220000,0.469227080,-0.002856225,0.431105201,-0.017871450
0.221000,0.468322078,-0.002830554,0.433342868,-0.017887455
0.222000,0.467406957,-0.002804360,0.435571806,-0.017902298
0.223000,0.466481687,-0.002777644,0.437791900,-0.017915977
0.224000,0.465546242,-0.002750406,0.440003036,-0.017928492
0.225000,0.464600594,-0.002722644,0.442205101,-0.017939841
0.226000,0.463644719,-0.002694360,0.444397983,-0.017950025
0.227000,0.462678591,-0.002665553,0.446581570,-0.017959044
0.228000,0.461702188,-0.002636224,0.448755754,-0.017966896
0.229000,0.460715487,-0.002606372,0.450920425,-0.017973582
0.230000,0.459718466,-0.002575996,0.453075475,-0.017979103
0.231000,0.458711105,-0.002545099,0.455220798,-0.017983458
0.232000,0.457693385,-0.002513678,0.457356289,-0.017986648
0.233000,0.456665288,-0.002481735,0.459481842,-0.017988673
0.234000,0.455626796,-0.002449269,0.461597355,-0.017989535
0.235000,0.454577893,-0.002416281,0.463702725,-0.017989234
0.236000,0.453518564,-0.002382771,0.465797852,-0.017987771
0.237000,0.452448796,-0.002348738,0.467882635,-0.017985148
0.238000,0.451368575,-0.002314184,0.469956976,-0.017981365
0.239000,0.450277889,-0.002279107,0.472020778,-0.017976424
0.240000,0.449176727,-0.002243509,0.474073942,-0.017970327
0.241000,0.448065081,-0.002207390,0.476116376,-0.017963076
0.242000,0.446942941,-0.002170749,0.478147983,-0.017954672
0.243000,0.445810300,-0.002133587,0.480168672,-0.017945118
0.244000,0.444667151,-0.002095904,0.482178350,-0.017934415
0.245000,0.443513489,-0.002057701,0.484176927,-0.017922567
0.246000,0.442349310,-0.002018978,0.486164314,-0.017909575
0.247000,0.441174611,-0.001979735,0.488140422,-0.017895442
0.248000,0.439989390,-0.001939972,0.490105164,-0.017880171
0.249000,0.438793646,-0.001899691,0.492058454,-0.017863766
0.250000,0.437587379,-0.001858890,0.494000207,-0.017846228
0.251000,0.436370591,-0.001817572,0.495930341,-0.017827562
0.252000,0.435143283,-0.001775735,0.497848773,-0.017807770
0.253000,0.433905461,-0.001733382,0.499755422,-0.017786857
0.254000,0.432657128,-0.001690511,0.501650209,-0.017764825
0.255000,0.431398291,-0.001647124,0.503533053,-0.017741679
0.256000,0.430128956,-0.001603222,0.505403879,-0.017717422
0.257000,0.428849131,-0.001558804,0.507262611,-0.017692059
0.258000,0.427558826,-0.001513872,0.509109172,-0.017665593
0.259000,0.426258052,-0.001468425,0.510943490,-0.017638030
0.260000,0.424946820,-0.001422466,0.512765493,-0.017609374
0.261000,0.423625142,-0.001375994,0.514575108,-0.017579628
0.262000,0.422293032,-0.001329010,0.516372267,-0.017548799
0.263000,0.420950507,-0.001281514,0.518156901,-0.017516891
0.264000,0.419597580,-0.001233509,0.519928942,-0.017483908
0.265000,0.418234271,-0.001184994,0.521688324,-0.017449857
0.266000,0.416860597,-0.001135971,0.523434982,-0.017414742
0.267000,0.415476578,-0.001086440,0.525168854,-0.017378568
0.268000,0.414082235,-0.001036402,0.526889875,-0.017341343
0.269000,0.412677589,-0.000985858,0.528597986,-0.017303070
0.270000,0.411262664,-0.000934809,0.530293126,-0.017263756
0.271000,0.409837484,-0.000883257,0.531975238,-0.017223406
0.272000,0.408402074,-0.000831202,0.533644263,-0.017182028
0.273000,0.406956462,-0.000778645,0.535300146,-0.017139627
0.274000,0.405500673,-0.000725588,0.536942833,-0.017096209
0.275000,0.404034739,-0.000672032,0.538572269,-0.017051781
0.276000,0.402558687,-0.000617978,0.540188403,-0.017006349
0.277000,0.401072550,-0.000563427,0.541791184,-0.016959920
0.278000,0.399576360,-0.000508381,0.543380562,-0.016912501
0.279000,0.398070150,-0.000452840,0.544956489,-0.016864098
0.280000,0.396553955,-0.000396807,0.546518919,-0.016814720
0.281000,0.395027811,-0.000340283,0.548067805,-0.016764372
0.282000,0.393491754,-0.000283270,0.549603103,-0.016713063
0.283000,0.391945823,-0.000225768,0.551124770,-0.016660799
