t,hip_L.q,abduct_L.q,hip_R.q,abduct_R.q
0.289000,0.716792466,-0.016360321,0.751641627,-0.009098673
0.290000,0.716081581,-0.016335646,0.754044020,-0.009051466
0.291000,0.715364703,-0.016310446,0.756439978,-0.009003504
0.292000,0.714641803,-0.016284724,0.758829422,-0.008954788
0.293000,0.713912855,-0.016258484,0.761212276,-0.008905319
0.294000,0.713177831,-0.016231727,0.763588463,-0.008855100
0.295000,0.712436704,-0.016204459,0.765957909,-0.008804131
0.296000,0.711689449,-0.016176682,0.768320535,-0.008752414
0.297000,0.710936039,-0.016148398,0.770676269,-0.008699951
0.298000,0.710176449,-0.016119612,0.773025035,-0.008646744
0.299000,0.709410654,-0.016090326,0.775366759,-0.008592794
0.300000,0.708638629,-0.016060544,0.777701367,-0.008538103
0.301000,0.707860350,-0.016030268,0.780028785,-0.008482673
0.302000,0.707075793,-0.015999502,0.782348941,-0.008426505
0.303000,0.706284935,-0.015968249,0.784661762,-0.008369603
0.304000,0.705487752,-0.015936511,0.786967176,-0.008311968
0.305000,0.704684223,-0.015904292,0.789265112,-0.008253602
0.306000,0.703874324,-0.015871594,0.791555498,-0.008194507
0.307000,0.703058034,-0.015838421,0.793838264,-0.008134686
0.308000,0.702235332,-0.015804775,0.796113339,-0.008074140
0.309000,0.701406196,-0.015770660,0.798380654,-0.008012873
0.310000,0.700570607,-0.015736078,0.800640140,-0.007950886
0.311000,0.699728544,-0.015701032,0.802891727,-0.007888183
0.312000,0.698879987,-0.015665524,0.805135347,-0.007824765
0.313000,0.698024917,-0.015629559,0.807370933,-0.007760635
0.314000,0.697163316,-0.015593137,0.809598417,-0.007695797
0.315000,0.696295165,-0.015556263,0.811817733,-0.007630251
0.316000,0.695420446,-0.015518939,0.814028813,-0.007564003
0.317000,0.694539142,-0.015481167,0.816231591,-0.007497053
0.318000,0.693651236,-0.015442950,0.818426003,-0.007429406
0.319000,0.692756710,-0.015404291,0.820611984,-0.007361064
0.320000,0.691855550,-0.015365193,0.822789468,-0.007292029
0.321000,0.690947739,-0.015325658,0.824958393,-0.007222306
0.322000,0.690033262,-0.015285688,0.827118694,-0.007151898
0.323000,0.689112105,-0.015245286,0.829270308,-0.007080806
0.324000,0.688184252,-0.015204456,0.831413174,-0.007009036
0.325000,0.687249690,-0.015163198,0.833547229,-0.006936589
0.326000,0.686308407,-0.015121516,0.835672411,-0.006863470
0.327000,0.685360388,-0.015079412,0.837788660,-0.006789682
0.328000,0.684405621,-0.015036888,0.839895916,-0.006715228
0.329000,0.683444095,-0.014993948,0.841994118,-0.006640112
0.330000,0.682475797,-0.014950592,0.844083207,-0.006564337
0.331000,0.681500717,-0.014906825,0.846163125,-0.006487908
0.332000,0.680518844,-0.014862647,0.848233812,-0.006410827
0.333000,0.679530168,-0.014818062,0.850295211,-0.006333098
0.334000,0.678534680,-0.014773071,0.852347266,-0.006254726
0.335000,0.677532369,-0.014727677,0.854389918,-0.006175715
0.336000,0.676523228,-0.014681882,0.856423112,-0.006096067
0.337000,0.675507248,-0.014635689,0.858446792,-0.006015787
0.338000,0.674484422,-0.014589099,0.860460903,-0.005934880
0.339000,0.673454741,-0.014542115,0.862465391,-0.005853349
0.340000,0.672418200,-0.014494739,0.864460200,-0.005771198
0.341000,0.671374792,-0.014446973,0.866445279,-0.005688432
0.342000,0.670324511,-0.014398819,0.868420573,-0.005605055
0.343000,0.669267352,-0.014350279,0.870386031,-0.005521071
0.344000,0.668203311,-0.014301356,0.872341600,-0.005436484
0.345000,0.667132381,-0.014252051,0.874287229,-0.005351299
0.346000,0.666054561,-0.014202366,0.876222868,-0.005265521
0.347000,0.664969846,-0.014152304,0.878148465,-0.005179153
0.348000,0.663878234,-0.014101867,0.880063972,-0.005092201
0.349000,0.662779721,-0.014051056,0.881969339,-0.005004670
0.350000,0.661674307,-0.013999873,0.883864518,-0.004916563
0.351000,0.660561990,-0.013948321,0.885749460,-0.004827885
0.352000,0.659442769,-0.013896402,0.887624119,-0.004738642
0.353000,0.658316644,-0.013844117,0.889488447,-0.004648837
0.354000,0.657183614,-0.013791468,0.891342398,-0.004558477
0.355000,0.656043681,-0.013738457,0.893185926,-0.004467566
0.356000,0.654896845,-0.013685086,0.895018987,-0.004376108
0.357000,0.653743108,-0.013631357,0.896841535,-0.004284109
0.358000,0.652582472,-0.013577272,0.898653526,-0.004191574
