t,hip_L.q,abduct_L.q,hip_R.q,abduct_R.q
0.256000,0.253292233,0.006352916,0.422363531,-0.023583097
0.257000,0.251519040,0.006422673,0.423986044,-0.023553648
0.258000,0.249733467,0.006492888,0.425591142,-0.023522802
0.259000,0.247935577,0.006563558,0.427178775,-0.023490568
0.260000,0.246125435,0.006634684,0.428748895,-0.023456955
0.261000,0.244303106,0.006706263,0.430301458,-0.023421971
0.262000,0.242468659,0.006778296,0.431836420,-0.023385625
0.263000,0.240622165,0.006850780,0.433353739,-0.023347928
0.264000,0.238763694,0.006923715,0.434853377,-0.023308889
0.265000,0.236893320,0.006997099,0.436335296,-0.023268518
0.266000,0.235011118,0.007070930,0.437799461,-0.023226825
0.267000,0.233117166,0.007145207,0.439245838,-0.023183819
0.268000,0.231211542,0.007219927,0.440674398,-0.023139512
0.269000,0.229294327,0.007295090,0.442085110,-0.023093914
0.270000,0.227365604,0.007370693,0.443477948,-0.023047036
0.271000,0.225425456,0.007446735,0.444852886,-0.022998888
0.272000,0.223473969,0.007523212,0.446209902,-0.022949482
0.273000,0.221511232,0.007600123,0.447548975,-0.022898829
0.274000,0.219537332,0.007677465,0.448870085,-0.022846941
0.275000,0.217552362,0.007755236,0.450173216,-0.022793829
0.276000,0.215556414,0.007833434,0.451458353,-0.022739504
0.277000,0.213549583,0.007912055,0.452725482,-0.022683979
0.278000,0.211531965,0.007991097,0.453974594,-0.022627266
0.279000,0.209503658,0.008070556,0.455205679,-0.022569377
0.280000,0.207464761,0.008150430,0.456418730,-0.022510324
0.281000,0.205415376,0.008230716,0.457613741,-0.022450120
0.282000,0.203355606,0.008311409,0.458790712,-0.022388778
0.283000,0.201285555,0.008392508,0.459949639,-0.022326309
0.284000,0.199205330,0.008474008,0.461090525,-0.022262728
0.285000,0.197115039,0.008555905,0.462213372,-0.022198047
0.286000,0.195014791,0.008638196,0.463318185,-0.022132279
0.287000,0.192904698,0.008720877,0.464404971,-0.022065437
0.288000,0.190784872,0.008803943,0.465473739,-0.021997536
0.289000,0.188655429,0.008887392,0.466524499,-0.021928588
0.290000,0.186516483,0.008971218,0.467557265,-0.021858607
0.291000,0.184368154,0.009055416,0.468572051,-0.021787607
0.292000,0.182210559,0.009139983,0.469568873,-0.021715602
0.293000,0.180043821,0.009224914,0.470547750,-0.021642605
0.294000,0.177868061,0.009310203,0.471508703,-0.021568631
0.295000,0.175683404,0.009395847,0.472451753,-0.021493693
0.296000,0.173489974,0.009481839,0.473376925,-0.021417807
0.297000,0.171287900,0.009568176,0.474284245,-0.021340985
0.298000,0.169077309,0.009654850,0.475173740,-0.021263244
0.299000,0.166858331,0.009741858,0.476045441,-0.021184596
0.300000,0.164631099,0.009829192,0.476899379,-0.021105058
0.301000,0.162395746,0.009916849,0.477735588,-0.021024642
0.302000,0.160152405,0.010004821,0.478554103,-0.020943364
0.303000,0.157901213,0.010093103,0.479354961,-0.020861240
0.304000,0.155642308,0.010181689,0.480138201,-0.020778282
0.305000,0.153375828,0.010270572,0.480903864,-0.020694507
0.306000,0.151101913,0.010359746,0.481651992,-0.020609930
0.307000,0.148820706,0.010449205,0.482382629,-0.020524564
0.308000,0.146532349,0.010538942,0.483095823,-0.020438427
0.309000,0.144236987,0.010628949,0.483791620,-0.020351531
0.310000,0.141934765,0.010719221,0.484470071,-0.020263893
0.311000,0.139625832,0.010809751,0.485131226,-0.020175528
0.312000,0.137310335,0.010900530,0.485775139,-0.020086450
0.313000,0.134988425,0.010991552,0.486401865,-0.019996675
0.314000,0.132660252,0.011082809,0.487011459,-0.019906219
0.315000,0.130325970,0.011174295,0.487603981,-0.019815097
0.316000,0.127985731,0.011266000,0.488179491,-0.019723323
0.317000,0.125639691,0.011357917,0.488738049,-0.019630913
0.318000,0.123288007,0.011450039,0.489279719,-0.019537882
0.319000,0.120930835,0.011542358,0.489804566,-0.019444247
0.320000,0.118568335,0.011634864,0.490312656,-0.019350021
0.321000,0.116200667,0.011727551,0.490804058,-0.019255221
0.322000,0.113827991,0.011820409,0.491278841,-0.019159861
0.323000,0.111450470,0.011913429,0.491737077,-0.019063957
0.324000,0.109068268,0.012006604,0.492178838,-0.018967525
0.325000,0.106681548,0.012099925,0.492604199,-0.018870579
0.326000,0.104290478,0.012193382,0.493013236,-0.018773134
0.327000,0.101895223,0.012286966,0.493406026,-0.018675207
0.328000,0.099495952,0.012380669,0.493782648,-0.018576812
0.329000,0.097092834,0.012474481,0.494143184,-0.018477965
0.330000,0.094686038,0.012568393,0.494487714,-0.018378680
0.331000,0.092275736,0.012662395,0.494816323,-0.018278973
