t,abduct_L.q,abduct_L.w,abduct_R.q,abduct_R.w,hip_L.q,hip_L.w,hip_R.q,hip_R.w
6.192111525982e-03,9.150204109558e-05,2.956195010458e-02,-1.039154197483e-04,-3.357107513445e-02,-5.022214059174e-04,-1.622008131337e-01,-5.027340225727e-04,-1.623659971015e-01
6.337074519707e-03,9.583764546154e-05,3.025475558755e-02,-1.088389997455e-04,-3.435770959449e-02,-5.260096654959e-04,-1.659968732861e-01,-5.265465052886e-04,-1.661658868490e-01
6.482037513433e-03,1.002736846702e-04,3.094761192223e-02,-1.138766161722e-04,-3.514439293802e-02,-5.503482072333e-04,-1.697928494820e-01,-5.509098251241e-04,-1.699656900378e-01
6.627000507158e-03,1.048101661771e-04,3.164052026687e-02,-1.190282761953e-04,-3.593112627786e-02,-5.752370188195e-04,-1.735887397988e-01,-5.758239693880e-04,-1.737654046860e-01
6.771963500883e-03,1.094470976057e-04,3.233348177934e-02,-1.242939871430e-04,-3.671791072646e-02,-6.006760876658e-04,-1.773845423140e-01,-6.012889251013e-04,-1.775650288118e-01
6.916926494609e-03,1.141844867473e-04,3.302649761721e-02,-1.296737565048e-04,-3.750474739593e-02,-6.266654009050e-04,-1.811802551047e-01,-6.273046789981e-04,-1.813645604331e-01
7.061889488334e-03,1.190223415609e-04,3.371956893764e-02,-1.351675919315e-04,-3.829163739796e-02,-6.532049453909e-04,-1.849758762482e-01,-6.538712175250e-04,-1.851639975678e-01
7.206852482060e-03,1.239606701733e-04,3.441269689746e-02,-1.407755012347e-04,-3.907858184387e-02,-6.802947076987e-04,-1.887714038213e-01,-6.809885268411e-04,-1.889633382336e-01
7.351815475785e-03,1.289994808789e-04,3.510588265314e-02,-1.464974923874e-04,-3.986558184457e-02,-7.079346741248e-04,-1.925668359010e-01,-7.086565928184e-04,-1.927625804480e-01
7.496778469511e-03,1.341387821397e-04,3.579912736073e-02,-1.523335735235e-04,-4.065263851057e-02,-7.361248306867e-04,-1.963621705638e-01,-7.368754010415e-04,-1.965617222285e-01
7.641741463236e-03,1.393785825855e-04,3.649243217593e-02,-1.582837529377e-04,-4.143975295196e-02,-7.648651631231e-04,-2.001574058863e-01,-7.656449368073e-04,-2.003607615924e-01
7.786704456961e-03,1.447188910132e-04,3.718579825402e-02,-1.643480390859e-04,-4.222692627841e-02,-7.941556568941e-04,-2.039525399449e-01,-7.949651851255e-04,-2.041596965569e-01
7.931667450687e-03,1.501597163876e-04,3.787922674991e-02,-1.705264405845e-04,-4.301415959915e-02,-8.239962971806e-04,-2.077475708158e-01,-8.248361307185e-04,-2.079585251391e-01
8.076630444412e-03,1.557010678404e-04,3.857271881807e-02,-1.768189662109e-04,-4.380145402298e-02,-8.543870688847e-04,-2.115424965751e-01,-8.552577580208e-04,-2.117572453558e-01
8.221593438138e-03,1.613429546710e-04,3.926627561257e-02,-1.832256249031e-04,-4.458881065824e-02,-8.853279566298e-04,-2.153373152986e-01,-8.862300511799e-04,-2.155558552238e-01
8.366556431863e-03,1.670853863460e-04,3.995989828705e-02,-1.897464257597e-04,-4.537623061284e-02,-9.168189447601e-04,-2.191320250622e-01,-9.177529940554e-04,-2.193543527597e-01
8.511519425589e-03,1.729283724990e-04,4.065358799472e-02,-1.963813780400e-04,-4.616371499419e-02,-9.488600173410e-04,-2.229266239413e-01,-9.498265702196e-04,-2.231527359800e-01
8.656482419314e-03,1.788719229310e-04,4.134734588834e-02,-2.031304911638e-04,-4.695126490925e-02,-9.814511581588e-04,-2.267211100114e-01,-9.824507629572e-04,-2.269510029010e-01
8.801445413039e-03,1.849160476099e-04,4.204117312025e-02,-2.099937747111e-04,-4.773888146450e-02,-1.014592350721e-03,-2.305154813477e-01,-1.015625555265e-03,-2.307491515389e-01
8.946408406765e-03,1.910607566707e-04,4.273507084230e-02,-2.169712384225e-04,-4.852656576590e-02,-1.048283578256e-03,-2.343097360253e-01,-1.049350929853e-03,-2.345471799096e-01
9.091371400490e-03,1.973060604153e-04,4.342904020590e-02,-2.240628921988e-04,-4.931431891897e-02,-1.082524823712e-03,-2.381038721190e-01,-1.083626869143e-03,-2.383450860290e-01
9.236334394216e-03,2.036519693125e-04,4.412308236199e-02,-2.312687461011e-04,-5.010214202866e-02,-1.117316069761e-03,-2.418978877035e-01,-1.118453355270e-03,-2.421428679127e-01
9.381297387941e-03,2.100984939980e-04,4.481719846102e-02,-2.385888103505e-04,-5.089003619946e-02,-1.152657298793e-03,-2.456917808534e-01,-1.153830370079e-03,-2.459405235764e-01
9.526260381666e-03,2.166456452740e-04,4.551138965297e-02,-2.460230953283e-04,-5.167800253530e-02,-1.188548492920e-03,-2.494855496429e-01,-1.189757895129e-03,-2.497380510353e-01
9.671223375392e-03,2.232934341095e-04,4.620565708731e-02,-2.535716115757e-04,-5.246604213961e-02,-1.224989633974e-03,-2.532791921463e-01,-1.226235911693e-03,-2.535354483046e-01
